SID,Nombre,Código,Organización,Latitud,Longitud,Altura,Medida,Valor,Confianza
831,"CE Huasco Vallenar","AG159","agromet",-28.58113,-70.798289833,467.0,"Temperatura",18.99,100
749,"Altos la Portada","AG479","agromet",-23.5040977,-70.4046663,112.0,"Temperatura",21.53,100
372,"Rio Mayer Desembocadura","11701001-5","dga",-48.4833,-72.6,350.0,"Temperatura",,0
1444,"Corral (CEHUMet)","zx:00:00:00:00:68","redmeteo",-39.9,-73.42,27.0,"Temperatura",,0
1434,"Pucón Aeródromo","390056","dmc",-39.29111,-71.91694,264.0,"Temperatura",20.57,100
331,"Adolfo Matthei","10360002-2","dga",-40.5883,-73.1069,55.0,"Temperatura",,0
1416,"Peñablanca","CEAZA_PNB_Peñablanca","ceaza",-30.900563800000004,-71.55375,370.0,"Temperatura",,0
138,"Estero Yerba Loca en Piedra Carvajal","05721017-6","dga",-33.2214,-70.2736,3250.0,"Temperatura",,0
676,"Palmilla","AG79","agromet",-34.546666667,-71.395,147.0,"Temperatura",25.81,100
721,"Coronel","AG172","agromet",-37.004823,-73.140405,64.0,"Temperatura",,0
180,"Embalse Rapel El Muro","06054001-2","dga",-34.03722222222222,-71.58555555555554,125.0,"Temperatura",,0
169,"Claro Valle dos","06027001-5","dga",-34.6867,-70.8739,476.0,"Temperatura",,0
1176,"MAMIÑA","01750003-1","dga",-20.0756,-69.2147,2730.0,"Temperatura",,0
1314,"La Polvareda","AG664","agromet",-30.882719,-71.239736,264.0,"Temperatura",20.97,100
318,"Río Calle Calle en Pupunahue","10122003-6","dga",-39.8044,-72.9025,60.0,"Temperatura",,0
1468,"Santa Carolina - El Encuentro","AG764","agromet",-35.89338,-72.03633,124.0,"Temperatura",,0
215,"Cn San Clemente","07322007-6","dga",-35.5822,-71.5306,0.0,"Temperatura",,0
731,"Lebu","AG174","agromet",-37.682541,-73.522166833,196.0,"Temperatura",16.7,100
1291,"Mirador Marchant, Coyhaique","450022","dmc",-45.52528,-72.09806,438.0,"Temperatura",15.2,100
1395,"Cartagena","yy:00:00:00:00:63","redmeteo",-33.54893,-71.60218,23.0,"Temperatura",,0
104,"Río Juncal en Juncal","05401003-6","dga",-32.8625,-70.1675,2200.0,"Temperatura",,0
750,"Ollague","AG154","agromet",-21.2167,-68.233055556,3701.0,"Temperatura",16.26,100
152,"Leñas Cachapoal","06000003-4","dga",-34.3628,-70.3056,1296.0,"Temperatura",,0
1381,"Curicó","AG696","agromet",-34.940973,-71.222752,222.0,"Temperatura",22.94,100
652,"Chocalán ","AG223","agromet",-33.760555556,-71.225555556,185.0,"Temperatura",,0
660,"COLINA ","AG48","agromet",-33.218777778,-70.715833333,547.0,"Temperatura",25.09,100
1393,"Máfil (CEHUMet)","zx:00:00:00:00:61","redmeteo",-39.67,-72.95,6.0,"Temperatura",,0
422,"Bahia San Felipe","12806004-9","dga",-52.8697,-69.9319,10.0,"Temperatura",,0
895,"Embalse Cogoti","04534002-3","dga",-31.004722222222224,-71.08916666666666,0.0,"Temperatura",,0
1355,"Viña del Mar, Las Salinas","yy:00:00:00:00:3f","redmeteo",-32.994635,-71.544479,25.0,"Temperatura",,0
813,"Chaca","AG310","agromet",-18.81,-70.156,327.0,"Temperatura",23.0,100
1190,"PASTOS GRANDES","03441001-1","dga",-27.1142,-69.5642,2268.0,"Temperatura",,0
1180,"CUPO","02105014-8","dga",-22.1147,-68.3167,3384.0,"Temperatura",,0
1436,"VP - Nancagua","AG751","agromet",-34.651639,-71.216778,207.0,"Temperatura",21.07,100
1356,"El Carmen","wl:1d:0a:00:91:56","redmeteo",-30.46796,-71.03493,391.1,"Temperatura",,0
1178,"RIO LOA EN SALIDA EMBALSE CONCHI","02104002-9","dga",-22.0278,-68.6208,2948.0,"Temperatura",,0
198,"Estero Las Garzas","07308001-0","dga",-35.7525,-71.0025,600.0,"Temperatura",,0
492,"Estación Experimental Austral","AG375","agromet",-39.787428,-73.234546,17.0,"Temperatura",18.04,100
89,"Río Cogoti Entrada Embalse Cogoti","04531002-7","dga",-31.0325,-71.0403,670.0,"Temperatura",,0
683,"La Estrella Sur Ex Pumanque","AG78","agromet",-34.213333333,-71.716111111,288.0,"Temperatura",,0
1138,"Tongoy Balsa CMET","CEAZA_BTG_Tongoy Balsa CMET","ceaza",-30.27508,-71.56158,0.0,"Temperatura",17.87,100
814,"Truffa - Azapa medio","AG151","agromet",-18.547727833,-70.124645833,389.0,"Temperatura",22.26,100
461,"Lo Pinto","330118","dmc",-33.2681,-70.7322,512.0,"Temperatura",26.04,100
42,"Captacion Sqm Maria Elena","02112012-K","dga",-22.349859216849,-69.5661996665693,0.0,"Temperatura",,0
175,"Asentamiento la Puerta","06034017-K","dga",-34.60944444444445,-71.38083333333333,0.0,"Temperatura",,0
387,"Las Chinas en Cerro Guido","12284006-9","dga",-51.0508,-72.5169,75.0,"Temperatura",,0
231,"Cn Rest S1","07358010-2","dga",-35.7428,-71.4217,0.0,"Temperatura",,0
1425,"Luis Felipe Edwards – Santo Domingo","AG742","agromet",-33.737533,-71.639331,86.0,"Temperatura",,0
745,"Navidad","AG181","agromet",-36.907300833,-71.935601,314.0,"Temperatura",21.47,100
1283,"San Felipe Escuela Agrícola","320019","dmc",-32.75528,-70.70694,662.0,"Temperatura",25.69,100
770,"Loncoche","AG128","agromet",-39.393333333,-72.636666667,107.0,"Temperatura",18.8,100
637,"San Antonio de Naltahua","AG267","agromet",-33.725439,-71.042558,242.0,"Temperatura",21.97,100
1144,"Canela","CEAZA_CAN_Canela","ceaza",-31.390890000000002,-71.41298,350.0,"Temperatura",17.97,100
1369,"Desierto de Atacama, Caldera  Ad.","270008","dmc",-27.25444,-70.78111,197.0,"Temperatura",18.48,100
